,close,standard,minmax,standard->minmax,minmax->standard
1593561600000,0.01632,-1.5170604005166421,0.00018971732119144047,0.00018971732119149598,-1.5170604005166424
1593565200000,0.01636,-1.515767693890142,0.00044267374944666205,0.00044267374944673143,-1.5157676938901423
1593568800000,0.01629,-1.5180299304865172,0.0,0.0,-1.5180299304865175
1593572400000,0.01633,-1.5167372238600172,0.00025295642825524933,0.00025295642825529097,-1.5167372238600174
1593576000000,0.01635,-1.516090870546767,0.0003794346423828532,0.00037943464238293645,-1.5160908705467673
1593579600000,0.01638,-1.5151213405768922,0.0005691519635742798,0.0005691519635743214,-1.5151213405768926
1593583200000,0.01634,-1.5164140472033922,0.0003161955353190582,0.00031619553531908595,-1.5164140472033925
1593586800000,0.0163,-1.5177067538298923,6.323910706380886e-05,6.32391070638505e-05,-1.5177067538298925
1593590400000,0.0164,-1.5144749872636423,0.0006956301777019114,0.0006956301777019114,-1.5144749872636425
1593594000000,0.01644,-1.5131822806371424,0.000948586605957133,0.0009485866059571468,-1.5131822806371424
1593597600000,0.01645,-1.5128591039805173,0.0010118257130209418,0.0010118257130209973,-1.5128591039805175
1593601200000,0.01645,-1.5128591039805173,0.0010118257130209418,0.0010118257130209973,-1.5128591039805175
1593604800000,0.01649,-1.5115663973540172,0.0012647821412761773,0.0012647821412762328,-1.5115663973540177
1593608400000,0.01659,-1.5083346307877674,0.001897173211914266,0.0018971732119142937,-1.5083346307877674
1593612000000,0.01674,-1.5034869809383924,0.002845759817871385,0.0028457598178714405,-1.5034869809383928
1593615600000,0.0169,-1.4983161544323929,0.003857585530892299,0.003857585530892327,-1.4983161544323929
1593619200000,0.01688,-1.4989625077456428,0.003731107316764695,0.003731107316764737,-1.498962507745643
1593622800000,0.01686,-1.4996088610588927,0.0036046291026370775,0.0036046291026370914,-1.499608861058893
1593626400000,0.01685,-1.4999320377155174,0.0035413899955732686,0.003541389995573352,-1.4999320377155179
1593630000000,0.01676,-1.5028406276251427,0.0029722380319990027,0.0029722380319990305,-1.502840627625143
1593633600000,0.01683,-1.5005783910287678,0.0034149117814456648,0.003414911781445651,-1.500578391028768
1593637200000,0.0169,-1.4983161544323929,0.003857585530892299,0.003857585530892327,-1.4983161544323929
1593640800000,0.01686,-1.4996088610588927,0.0036046291026370775,0.0036046291026370914,-1.499608861058893
1593644400000,0.01686,-1.4996088610588927,0.0036046291026370775,0.0036046291026370914,-1.499608861058893
1593648000000,0.01702,-1.4944380345528927,0.004616454815658019,0.004616454815658089,-1.494438034552893
1593651600000,0.0171,-1.4918526212998928,0.005122367672168476,0.005122367672168504,-1.4918526212998933
1593655200000,0.01717,-1.489590384703518,0.005565041421615138,0.00556504142161518,-1.4895903847035183
1593658800000,0.01716,-1.4899135613601429,0.005501802314551343,0.005501802314551385,-1.4899135613601433
1593662400000,0.01708,-1.492498974613143,0.0049958894580408725,0.004995889458040859,-1.4924989746131432
1593666000000,0.01691,-1.4979929777757677,0.003920824637956136,0.003920824637956177,-1.497992977775768
1593669600000,0.0169,-1.4983161544323929,0.003857585530892299,0.003857585530892327,-1.4983161544323929
1593673200000,0.01694,-1.4970234478058928,0.004110541959147548,0.004110541959147562,-1.497023447805893
1593676800000,0.01687,-1.4992856844022677,0.0036678682097008863,0.003667868209700942,-1.499285684402268
1593680400000,0.01684,-1.5002552143721426,0.0034781508885094736,0.0034781508885095014,-1.500255214372143
1593684000000,0.01674,-1.5034869809383924,0.002845759817871385,0.0028457598178714405,-1.5034869809383928
1593687600000,0.01684,-1.5002552143721426,0.0034781508885094736,0.0034781508885095014,-1.500255214372143
1593691200000,0.01699,-1.4954075645227676,0.004426737494466593,0.004426737494466648,-1.495407564522768
1593694800000,0.01709,-1.4921757979565178,0.005059128565104681,0.005059128565104709,-1.492175797956518
1593698400000,0.01692,-1.4976698011191425,0.003984063745019931,0.003984063745020028,-1.4976698011191432
1593702000000,0.01645,-1.5128591039805173,0.0010118257130209418,0.0010118257130209973,-1.5128591039805175
1593705600000,0.01643,-1.5135054572937672,0.0008853474988933241,0.0008853474988933518,-1.5135054572937674
1593709200000,0.01652,-1.5105968673841423,0.0014544994624676039,0.0014544994624676177,-1.5105968673841426
1593712800000,0.01652,-1.5105968673841423,0.0014544994624676039,0.0014544994624676177,-1.5105968673841426
1593716400000,0.01644,-1.5131822806371424,0.000948586605957133,0.0009485866059571468,-1.5131822806371424
1593720000000,0.01653,-1.5102736907275172,0.0015177385695313989,0.0015177385695314682,-1.5102736907275176
1593723600000,0.0166,-1.5080114541311422,0.001960412318978061,0.001960412318978144,-1.508011454131143
1593727200000,0.01655,-1.5096273374142675,0.0016442167836590166,0.0016442167836590582,-1.5096273374142677
1593730800000,0.01661,-1.5076882774745175,0.0020236514260418698,0.0020236514260418836,-1.5076882774745177
1593734400000,0.01658,-1.5086578074443924,0.001833934104850457,0.0018339341048504987,-1.5086578074443926
1593738000000,0.01669,-1.5051028642215176,0.0025295642825523407,0.0025295642825523545,-1.5051028642215176
1593741600000,0.0166,-1.5080114541311422,0.001960412318978061,0.001960412318978144,-1.508011454131143
1593745200000,0.01661,-1.5076882774745175,0.0020236514260418698,0.0020236514260418836,-1.5076882774745177
1593748800000,0.01659,-1.5083346307877674,0.001897173211914266,0.0018971732119142937,-1.5083346307877674
1593752400000,0.01663,-1.5070419241612674,0.0021501296401694875,0.002150129640169529,-1.5070419241612678
1593756000000,0.01666,-1.5060723941913925,0.002339846961360928,0.0023398469613609696,-1.5060723941913927
1593759600000,0.01677,-1.5025174509685175,0.0030354771390628116,0.003035477139062881,-1.5025174509685177
1593763200000,0.01677,-1.5025174509685175,0.0030354771390628116,0.003035477139062881,-1.5025174509685177
1593766800000,0.01667,-1.5057492175347673,0.002403086068424723,0.00240308606842482,-1.5057492175347678
1593770400000,0.01669,-1.5051028642215176,0.0025295642825523407,0.0025295642825523545,-1.5051028642215176
1593774000000,0.01678,-1.5021942743118926,0.0030987162461266066,0.003098716246126676,-1.5021942743118928
1593777600000,0.01677,-1.5025174509685175,0.0030354771390628116,0.003035477139062881,-1.5025174509685177
1593781200000,0.01683,-1.5005783910287678,0.0034149117814456648,0.003414911781445651,-1.500578391028768
1593784800000,0.01672,-1.5041333342516425,0.0027192816037437534,0.002719281603743795,-1.504133334251643
1593788400000,0.01679,-1.5018710976552676,0.0031619553531904154,0.003161955353190471,-1.5018710976552678
1593792000000,0.01681,-1.5012247443420177,0.003288433567318033,0.003288433567318061,-1.5012247443420181
1593795600000,0.01676,-1.5028406276251427,0.0029722380319990027,0.0029722380319990305,-1.502840627625143
1593799200000,0.01679,-1.5018710976552676,0.0031619553531904154,0.003161955353190471,-1.5018710976552678
1593802800000,0.01676,-1.5028406276251427,0.0029722380319990027,0.0029722380319990305,-1.502840627625143
1593806400000,0.01679,-1.5018710976552676,0.0031619553531904154,0.003161955353190471,-1.5018710976552678
1593810000000,0.01673,-1.5038101575950178,0.0027825207108075622,0.0027825207108075345,-1.503810157595018
1593813600000,0.01668,-1.5054260408781426,0.002466325175488532,0.0024663251754885596,-1.5054260408781428
1593817200000,0.01663,-1.5070419241612674,0.0021501296401694875,0.002150129640169529,-1.5070419241612678
1593820800000,0.01669,-1.5051028642215176,0.0025295642825523407,0.0025295642825523545,-1.5051028642215176
1593824400000,0.01673,-1.5038101575950178,0.0027825207108075622,0.0027825207108075345,-1.503810157595018
1593828000000,0.01677,-1.5025174509685175,0.0030354771390628116,0.003035477139062881,-1.5025174509685177
1593831600000,0.01677,-1.5025174509685175,0.0030354771390628116,0.003035477139062881,-1.5025174509685177
1593835200000,0.01678,-1.5021942743118926,0.0030987162461266066,0.003098716246126676,-1.5021942743118928
1593838800000,0.01676,-1.5028406276251427,0.0029722380319990027,0.0029722380319990305,-1.502840627625143
1593842400000,0.01673,-1.5038101575950178,0.0027825207108075622,0.0027825207108075345,-1.503810157595018
1593846000000,0.01671,-1.5044565109082675,0.0026560424966799445,0.00265604249668,-1.504456510908268
1593849600000,0.01674,-1.5034869809383924,0.002845759817871385,0.0028457598178714405,-1.5034869809383928
1593853200000,0.01672,-1.5041333342516425,0.0027192816037437534,0.002719281603743795,-1.504133334251643
1593856800000,0.01667,-1.5057492175347673,0.002403086068424723,0.00240308606842482,-1.5057492175347678
1593860400000,0.01672,-1.5041333342516425,0.0027192816037437534,0.002719281603743795,-1.504133334251643
1593864000000,0.01669,-1.5051028642215176,0.0025295642825523407,0.0025295642825523545,-1.5051028642215176
1593867600000,0.01676,-1.5028406276251427,0.0029722380319990027,0.0029722380319990305,-1.502840627625143
1593871200000,0.01675,-1.5031638042817674,0.002908998924935194,0.0029089989249352355,-1.5031638042817679
1593874800000,0.01673,-1.5038101575950178,0.0027825207108075622,0.0027825207108075345,-1.503810157595018
1593878400000,0.01669,-1.5051028642215176,0.0025295642825523407,0.0025295642825523545,-1.5051028642215176
1593882000000,0.01683,-1.5005783910287678,0.0034149117814456648,0.003414911781445651,-1.500578391028768
1593885600000,0.01677,-1.5025174509685175,0.0030354771390628116,0.003035477139062881,-1.5025174509685177
1593889200000,0.01681,-1.5012247443420177,0.003288433567318033,0.003288433567318061,-1.5012247443420181
1593892800000,0.01677,-1.5025174509685175,0.0030354771390628116,0.003035477139062881,-1.5025174509685177
1593896400000,0.01675,-1.5031638042817674,0.002908998924935194,0.0029089989249352355,-1.5031638042817679
1593900000000,0.01676,-1.5028406276251427,0.0029722380319990027,0.0029722380319990305,-1.502840627625143
1593903600000,0.01682,-1.5009015676853925,0.003351672674381856,0.0033516726743819114,-1.500901567685393
1593907200000,0.01677,-1.5025174509685175,0.0030354771390628116,0.003035477139062881,-1.5025174509685177
1593910800000,0.0168,-1.5015479209986426,0.0032251944602542243,0.003225194460254266,-1.5015479209986429
1593914400000,0.01671,-1.5044565109082675,0.0026560424966799445,0.00265604249668,-1.504456510908268
1593918000000,0.01673,-1.5038101575950178,0.0027825207108075622,0.0027825207108075345,-1.503810157595018
1593921600000,0.01674,-1.5034869809383924,0.002845759817871385,0.0028457598178714405,-1.5034869809383928
1593925200000,0.01663,-1.5070419241612674,0.0021501296401694875,0.002150129640169529,-1.5070419241612678
1593928800000,0.01666,-1.5060723941913925,0.002339846961360928,0.0023398469613609696,-1.5060723941913927
1593932400000,0.01661,-1.5076882774745175,0.0020236514260418698,0.0020236514260418836,-1.5076882774745177
1593936000000,0.01664,-1.5067187475046424,0.0022133687472332825,0.002213368747233324,-1.5067187475046429
1593939600000,0.01647,-1.5122127506672673,0.0011383039271485457,0.0011383039271485873,-1.5122127506672678
1593943200000,0.01655,-1.5096273374142675,0.0016442167836590166,0.0016442167836590582,-1.5096273374142677
1593946800000,0.01656,-1.5093041607576425,0.0017074558907228254,0.0017074558907228532,-1.5093041607576425
1593950400000,0.01656,-1.5093041607576425,0.0017074558907228254,0.0017074558907228532,-1.5093041607576425
1593954000000,0.01653,-1.5102736907275172,0.0015177385695313989,0.0015177385695314682,-1.5102736907275176
1593957600000,0.01654,-1.5099505140708924,0.0015809776765952077,0.0015809776765952632,-1.5099505140708926
1593961200000,0.01653,-1.5102736907275172,0.0015177385695313989,0.0015177385695314682,-1.5102736907275176
1593964800000,0.01652,-1.5105968673841423,0.0014544994624676039,0.0014544994624676177,-1.5105968673841426
1593968400000,0.01656,-1.5093041607576425,0.0017074558907228254,0.0017074558907228532,-1.5093041607576425
1593972000000,0.01659,-1.5083346307877674,0.001897173211914266,0.0018971732119142937,-1.5083346307877674
1593975600000,0.01657,-1.5089809841010173,0.0017706949977866482,0.0017706949977867037,-1.5089809841010176
1593979200000,0.01653,-1.5102736907275172,0.0015177385695313989,0.0015177385695314682,-1.5102736907275176
1593982800000,0.01654,-1.5099505140708924,0.0015809776765952077,0.0015809776765952632,-1.5099505140708926
1593986400000,0.01674,-1.5034869809383924,0.002845759817871385,0.0028457598178714405,-1.5034869809383928
1593990000000,0.01689,-1.4986393310890176,0.00379434642382849,0.0037943464238285873,-1.498639331089018
1593993600000,0.01731,-1.485065911510768,0.006450388920508449,0.006450388920508476,-1.4850659115107685
1593997200000,0.0176,-1.4756937884686432,0.008284323025358892,0.008284323025358975,-1.4756937884686439
1594000800000,0.01753,-1.477956025065018,0.00784164927591223,0.007841649275912299,-1.4779560250650186
1594004400000,0.01742,-1.481510968287893,0.007146019098210346,0.007146019098210388,-1.4815109682878935
1594008000000,0.01755,-1.4773096717517684,0.007968127490039847,0.007968127490039889,-1.4773096717517686
1594011600000,0.01774,-1.4711693152758936,0.009169670524252202,0.009169670524252216,-1.4711693152758938
